Gene Name,Annotation,Accession #,Class Name,20160324_bath study 7 48hpf_ 25_01.RCC,20160324_bath study 7 48hpf_ 26_02.RCC,20160324_bath study 7 48hpf_ 27_03.RCC,20160324_bath study 7 48hpf_ 28_04.RCC,20160324_bath study 7 48hpf_ 29_05.RCC,20160324_bath study 7 48hpf_ 30_06.RCC,20160324_bath study 7 48hpf_ 31_07.RCC,20160324_bath study 7 48hpf_ 32_08.RCC,20160324_bath study 7 48hpf_ 33_09.RCC,20160324_bath study 7 48hpf_ 34_10.RCC,20160324_bath study 7 48hpf_ 35_11.RCC,20160324_bath study 7 48hpf_ 36_12.RCC,20160324_bath study 8_ 37_01.RCC,20160324_bath study 8_ 38_02.RCC,20160324_bath study 8_ 39_03.RCC,20160324_bath study 8_ 40_04.RCC,20160324_bath study 8_ 41_05.RCC,20160324_bath study 8_ 42_06.RCC,20160324_bath study 8_ 43_07.RCC,20160324_bath study 8_ 44_08.RCC,20160324_bath study 8_ 45_09.RCC,20160324_bath study 8_ 46_10.RCC,20160324_bath study 8_ 47_11.RCC,20160324_bath study 8_ 48_12.RCC
rpl13,,NM_198143.1,Endogenous,2272,13727,76338,60057,141719,11839,154319,8561,48661,152144,77029,199548,6061,19243,125983,16575,288683,110256,9108,5391,99516,90254,134124,74142
silva,,NM_001045330.1,Endogenous,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,1,43,1,1,1,1,2,1,1
slc24a5,,NM_001030280.1,Endogenous,1,1,1,1,1,1,1,1,2,2,6,1,1,1,2,1,24,1,1,1,1,3,1,1
smad9,,NM_001004014.1,Endogenous,1,2,19,14,29,3,37,2,8,45,16,39403,1,2,25,2,47,26,6,1,24,19,21,12
snail2,,XR_661767.1,Endogenous,1,1,1,1,4,1,51743,2,1,3,13,3,10,1,9,1,28231,1,3,1,1,1,1,1
sox10,,NM_131875.1,Endogenous,1,2,1,1,9233,609,2,1,1,10466,11032,3,2,1,5,1,35909,1,1,1,1,3,1,1
sox5,,NM_001033585.1,Endogenous,34,42,49,20,42,34,41,27,26,36,44,27,27,1,40,29,61,27,31,35,33,29,7,35
sox9b,,NM_131644.1,Endogenous,1,1,1,212,1,2,1,1,1,2,10982,1,1,1,46150,1,69566,1,1,1,1,1,1,1
tfap2a,,NM_176859.2,Endogenous,1,1,1,1,5,1,9,4,1,7,26954,12,25,1,15,1,6,1,1,1,1,1,1,1
tfap2e,,NM_200821.1,Endogenous,2,2,8,10,18,3,16,1,7,11,8,42,1,5,13,1,2055,19,1,1,12,11,13,7
tfec,,NM_001030105.2,Endogenous,1,1,1,1,4,1,1,1,1,3,6,2,1,1,1,1,20,1,1,1,1,1,1,1
tyr,,NM_131013.1,Endogenous,1,1,1,1,1,1,1,1,648,5,20585,1,1,1,1,1,8708,1,1,1,2,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,1,3,22,17,41,2,41,2,8,33,9,56,5,4,30,5,47,34,6,2,20,14,30,8
NEG_A,,ERCC_00096.1,Negative,10,16,23,12,3,5,8,6,8,7,12,6,7,2,9,9,26,9,10,7,7,8,5,11
NEG_B,,ERCC_00041.1,Negative,1,3,9,5,3,5,5,4,2,6,3,9,6,3,9,2,15,8,5,3,11,9,9,7
NEG_C,,ERCC_00019.1,Negative,1,1,2,1,2,1,1,2,1,1,1,3,1,1,2,1,4,1,1,2,1,1,1,2
NEG_D,,ERCC_00076.1,Negative,1,1,1,2,1,2,3,1,1,1,4,2,1,1,1,3,10,2,1,1,1,2,2,3
NEG_E,,ERCC_00098.1,Negative,10,14,10,9,9,8,14,12,11,7,8,10,10,6,11,15,20,13,8,15,11,15,9,9
NEG_F,,ERCC_00126.1,Negative,4,7,16,18,22,7,30,5,4,20,15,27,5,5,32,5,38,28,9,3,29,19,24,22
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,3,1,1,1,3,2,5,1,2,1,3,2,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,1,1,1,2,1,1,3,1,1,1,4,10,1,3,1,2,1,1,1,1,1,1,2
POS_A,,ERCC_00117.1,Positive,32283,31433,27681,28790,29054,28005,27443,27787,26257,22976,22668,33346,45741,43988,41231,42499,35223,45481,45053,41153,40098,46852,45831,51383
POS_B,,ERCC_00112.1,Positive,9413,9358,7752,8413,8709,8442,8045,8414,7658,6580,6494,10188,12532,11767,11295,11753,9794,12870,12219,11324,11043,12853,12737,14219
POS_C,,ERCC_00002.1,Positive,2869,2792,2417,2456,2627,2465,2363,2439,2175,2012,2013,3060,3595,3336,3228,3377,2768,3769,3473,3253,3143,3623,3594,4114
POS_D,,ERCC_00092.1,Positive,683,643,527,642,597,543,570,590,554,505,499,732,894,869,799,830,627,881,878,763,737,882,843,910
POS_E,,ERCC_00035.1,Positive,75,99,86,75,86,89,78,63,70,63,63,91,139,161,135,115,116,132,132,116,111,156,132,171
POS_F,,ERCC_00034.1,Positive,34,45,44,41,40,47,44,38,34,30,34,38,61,52,67,55,46,49,57,57,56,56,57,68
