Gene Name,Annotation,Accession #,Class Name,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _01.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _02.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _03.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _04.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _05.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _06.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _07.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _08.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _09.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _10.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _11.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _12.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _01.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _02.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _03.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _04.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _05.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _06.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _07.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _08.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _09.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _10.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _11.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _12.RCC
foxo1a,,NM_001077257.2,Endogenous,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1
foxo1b,,NM_001082857.1,Endogenous,882,8,4,1,104,1,1,1,1,8,1,63,1845,1,8,1,1,1,947,559,1,560,1,1
foxp4,,NM_001199491.1,Endogenous,5,9,3,6,7,10,5,4,6,80,1,1,6,1,40,1,2,2,2746,10,5,3,7,4
gapdh,,NM_001115114.1,Endogenous,670,763,3,5,990,6,32,2,1,6,1,1,3,1,3,2,1,6,1,1,1,2712,3,1680
hbp1,,NM_001024431.1,Endogenous,78,17,12,11,683,7,5,6,6,8,5,1,7,6,10,11,3,4,13,13,7,7,11,2
her9,,NM_131873.1,Endogenous,7446,4503,1755,6,5586,4,432,5,5,101,1,1639,13,5,68,8079,1,4,5,7,2874,51,1,2053
hmx1,,NM_001113526.1,Endogenous,1,305,1,1,12093,1880,1,1,1,137,4,2042,3044,1,90,1,1,1,6843,1,7425,1,1,1
hmx4,,NM_001045371.1,Endogenous,3,113,8,5,10371,4,3,2,1,56,1,1440,6919,1,25,4,2,1,4411,2,419,4,6,329
id2a,,NM_201291.1,Endogenous,7764,1028,5,2,8656,9574,5,3122,3,9,17,438,6985,2,47,7215,1,7690,21,5587,2075,7574,7809,1104
impdh1b,,NM_001014369.2,Endogenous,3,5016,4,8,9246,4,61,1102,4,84,29,22,14,2,70,1,1,1,3,2,3,363,5,87
kita,,NM_131053.1,Endogenous,1,12,1,1,5822,1,1,64,1,1,1400,1,3,1,20,1,1,152,1,1,1,2792,1,1
ltk,,XM_005158786.2,Endogenous,5,2,2,11,7,4,4,4,2,2,1,1,4,1,3,3,1,8,4,2,5,6,4,2
mbpa,,XM_002665557.1,Endogenous,3,1679,2,8841,7132,5,1,340,1,92,1,22,2,1,80,1,1,27,1,564,1,3911,2,1445
mc1r,,NM_180970.1,Endogenous,1,1708,6439,1,14679,1,1,321,1,76,1,296,1,1,36,1,1,4,1,1,5,1111,1,2
mitfa,,NM_130923.1,Endogenous,1,249,3,1,519,2,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,172
mlphb,,NM_001079679.1,Endogenous,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,1,1,1,1,116,1,1,1,1,1,990,1,1,1,1,1,1,1,1,1,1,2,1,3
myo5aa,,XM_009293794.1,Endogenous,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
oca2,,XM_690715.7,Endogenous,1,1,1,1,183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
otx2,,NM_131251.1,Endogenous,1,50,1653,1,10868,5366,1,1,1,105,1,1,2,1,97,1,1,1,1,15,5236,4564,7994,7155
pax3_v2,,XM_005163543.2,Endogenous,1,1,6,1,530,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1
pax7a,,NM_131326.1,Endogenous,2,1,1,4,247,4,3,1,2,1,1,1,3,1,1,4,1,1,2,1,1,5,2,1
pax7b,,NM_001146149.1,Endogenous,4,800,3,5,5231,7,4,2,1,65,2,850,2,1,23,1,1,5,1392,1,1,4551,6,1772
phox2b,,NM_001014818.1,Endogenous,6,9,2,5,12,6,1,4,6,6,1,1,1,4,1,2,3,1,2,5,5,6,4,1
pnp4a,,NM_001002102.1,Endogenous,2,4,6,3,7,6,2,2,4,2,1,1,2,3,15,3,1,5,2,7,4,3,3398,1
rpl13,,NM_198143.1,Endogenous,30396,8978,26174,26583,5947,38057,7621,8840,7650,10723,6097,1803,31201,4084,10221,19505,2894,27638,5653,13333,10643,19303,18388,11958
silva,,NM_001045330.1,Endogenous,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
slc24a5,,NM_001030280.1,Endogenous,4,1,1,1,69,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,5,2,1,1
smad9,,NM_001004014.1,Endogenous,5,3,5,4,276,3,2,2,1,1,1,1,6,1,1,2,1,6,2,4,1,5,3,4
snail2,,XR_661767.1,Endogenous,1522,448,1,1,1366,2,1,13,1,2074,1,1,1,1,909,1,1,1,1,1357,1449,6293,1,2
sox10,,NM_131875.1,Endogenous,1,1833,1,1,2491,1,1,1,1,3,1,1,22,1,45,1,1,1,1,1,1,2229,1,1124
sox5,,NM_001033585.1,Endogenous,7,5,6,11,9,11,2,6,2,4,5,1,5,1,5,2,1,6,6,3,7,3,11,2
sox9b,,NM_131644.1,Endogenous,1,2659,1,1,21087,1,1,1,1,133,1,124,1,1,99,1,1,1,2,1,1,1,15,472
tfap2a,,NM_176859.2,Endogenous,1,180,1,1,16653,427,1,1,1,152,1,1,1,1,312,1,1,5914,1,1,4797,9312,6238,6267
tfap2e,,NM_200821.1,Endogenous,5,15,3,4,3337,1023,621,1,2,2275,1,1,1,1,20,2,1,472,2,4,1,2561,2,2
tfec,,NM_001030105.2,Endogenous,1,4,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
tyr,,NM_131013.1,Endogenous,2337,1223,1,1,4108,4038,1,1,1,23,1,2,1,1,33,1,1,4182,1742,51,1322,6,1,2
tyrp1b,,NM_001002749.1,Endogenous,9,2,6,4,8,9,2,1,2,55,4,1,9,1,44,5,1,4,1,3,3,9,1,1
NEG_A,,ERCC_00096.1,Negative,1,2,3,1,3,2,1,1,1,1,1,1,2,4,3,1,1,1,3,1,1,1,1,1
NEG_B,,ERCC_00041.1,Negative,1,1,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1
NEG_C,,ERCC_00019.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,3,3,2,2,1,2,1,3,2,2,1,1,4,2,2,2,1,1,2,1,3,1,1,1
NEG_F,,ERCC_00126.1,Negative,4,4,6,3,4,10,1,1,1,2,1,1,2,1,2,3,1,7,1,5,4,2,3,2
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG_H,,ERCC_00154.1,Negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
POS_A,,ERCC_00117.1,Positive,7145,4798,8708,9687,8791,10009,6545,6692,7835,10026,5651,799,7556,8218,8850,5135,7962,6898,6538,7912,7369,5152,5309,3252
POS_B,,ERCC_00112.1,Positive,1995,1431,2461,2621,2100,2830,1730,1809,2118,2603,1477,205,1879,1995,2346,1406,2087,1757,1711,2148,1929,1337,1518,885
POS_C,,ERCC_00002.1,Positive,496,382,660,747,600,782,471,464,584,721,404,78,561,515,597,412,678,505,507,607,530,383,417,291
POS_D,,ERCC_00092.1,Positive,130,67,135,159,161,169,97,110,144,154,99,14,135,131,153,67,119,129,96,141,127,76,84,60
POS_E,,ERCC_00035.1,Positive,18,14,30,25,28,32,18,19,23,26,14,4,26,23,24,11,31,15,11,21,25,21,20,9
POS_F,,ERCC_00034.1,Positive,6,8,16,14,11,14,3,7,9,9,10,1,6,5,12,4,7,8,7,9,2,5,11,6
