Gene Name,Annotation,Accession #,20160818_bath study 30hpf 15-05 samples 1-12_  _01.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _02.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _03.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _04.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _05.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _06.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _07.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _08.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _09.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _10.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _11.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _12.RCC
pax3_v2,,XM_005163543.2,29,30,6,17,1,14188,15,57,50,21,9,1
pax7a,,NM_131326.1,31,47,42,36,24,31,37,53,62,52,89,4
pax7b,,NM_001146149.1,82306,46454,46,74,96477,57122,69489,31490,41646,88,41671,8857
phox2b,,NM_001014818.1,39,52168,11785,45,196,63969,48,62294,74,63601,131,8379
pnp4a,,NM_001002102.1,36,39,42,40,37,50,36,36,56,56,53,5
rpl13,,NM_198143.1,187389,223726,327441,393779,302447,361141,350985,235677,329428,352449,283451,53971
silva,,NM_001045330.1,4,16,1,1,1,6,9,26,4,7,14,1
slc24a5,,NM_001030280.1,3,57,9,2,2,29,67,40,13,32,85,3
smad9,,NM_001004014.1,70,5422,58,38497,52,62,63,49,52,7610,44,6
snail2,,XR_661767.1,69843,52431,17,19,49464,31,16,64960,39806,39597,55683,16024
sox10,,NM_131875.1,1,12135,4,7,25233,19155,139,33233,46655,23,67163,4
sox5,,NM_001033585.1,50,53,67,30,54,34,49,41,64,75,44,4
sox9b,,NM_131644.1,3,64496,4,1,1,16,30,33360,12,12,52085,2
tfap2a,,NM_176859.2,608,5091,6,15,3,1244,641,3399,1245,3582,1559,1311
tfap2e,,NM_200821.1,32,35,42,27,31,40,142,36,38,40,35,6
tfec,,NM_001030105.2,3,88447,4,1,246,84110,115960,79540,34,14,78578,7975
tyr,,NM_131013.1,8,40425,20,2,3,39,25,37402,2089,27,31749,5624
tyrp1b,,NM_001002749.1,64,57,58,78,60,52,59,47,80,87,49,13
NEG_A,,ERCC_00096.1,11,17,17,10,18,11,8,14,14,18,21,1
NEG_B,,ERCC_00041.1,12,13,12,9,7,10,8,12,18,13,11,4
NEG_C,,ERCC_00019.1,1,7,1,1,1,2,2,1,2,2,8,1
NEG_D,,ERCC_00076.1,1,10,1,1,1,6,9,18,5,7,23,1
NEG_E,,ERCC_00098.1,9,11,15,14,20,16,10,8,9,19,15,2
NEG_F,,ERCC_00126.1,35,41,48,42,42,41,50,36,40,43,52,7
NEG_G,,ERCC_00144.1,2,3,2,4,1,3,4,3,4,5,3,1
NEG_H,,ERCC_00154.1,7,9,5,16,15,11,13,12,14,18,20,1
POS_A,,ERCC_00117.1,30445,19210,34676,35251,30770,26249,32230,22730,28249,30208,22926,3234
POS_B,,ERCC_00112.1,7852,4507,9066,8894,7621,6713,7897,5536,6912,7536,5690,894
POS_C,,ERCC_00002.1,2272,1245,2453,2446,2093,1872,2192,1619,1898,2038,1588,412
POS_D,,ERCC_00092.1,508,332,598,591,498,433,504,406,497,489,358,62
POS_E,,ERCC_00035.1,89,73,113,118,103,102,99,69,84,103,78,9
POS_F,,ERCC_00034.1,29,31,42,48,43,43,44,33,38,52,27,6
