Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160610_bath study 18hpf 25-05 strip1_ 1_01.RCC,20160610_bath study 18hpf 25-05 strip1_ 2_02.RCC,20160610_bath study 18hpf 25-05 strip1_ 3_03.RCC,20160610_bath study 18hpf 25-05 strip1_ 4_04.RCC,20160610_bath study 18hpf 25-05 strip1_ 5_05.RCC,20160610_bath study 18hpf 25-05 strip1_ 6_06.RCC,20160610_bath study 18hpf 25-05 strip1_ 7_07.RCC,20160610_bath study 18hpf 25-05 strip1_ 8_08.RCC,20160610_bath study 18hpf 25-05 strip1_ 9_09.RCC,20160610_bath study 18hpf 25-05 strip1_ 10 _10.RCC,20160610_bath study 18hpf 25-05 strip1_ 11_11.RCC,20160610_bath study 18hpf 25-05 strip1_ 12_12.RCC
pax3_v2,,XM_005163543.2,Endogenous,,25,29,11,36,28,6,3,5,6,4,4,9
pax7a,,NM_131326.1,Endogenous,,21,31,12,36,577,215,264,63,13,12,22,12
pax7b,,NM_001146149.1,Endogenous,,53,38421,15,71785,31,24057,38724,42087,24,36,42,45
phox2b,,NM_001014818.1,Endogenous,,42271,76,5952,2484,37,28432,41418,30,20,11,181,50
pnp4a,,NM_001002102.1,Endogenous,,29,36,20,18,26,73032,18,20,13,11,39,28
rpl13,,NM_198143.1,Endogenous,,131860,179304,161711,138549,153375,214449,183256,153488,157293,140493,241905,228693
silva,,NM_001045330.1,Endogenous,,10,8,6,4,169,3,13,1,1,1,9,7
slc24a5,,NM_001030280.1,Endogenous,,30,12,36,26,33,40,8,1,15,1,17,8
smad9,,NM_001004014.1,Endogenous,,44,39,22,19,23,40,42,32,19,24,30,35
snail2,,XR_661767.1,Endogenous,,32631,24,3,26422,37167,23002,30885,41256,2,10,23652,11
sox10,,NM_131875.1,Endogenous,,11841,25,2,3,10398,14089,5,1,1,1,30,12
sox5,,NM_001033585.1,Endogenous,,32,32,36,31,30,100,26,18,35,15,42,29
sox9b,,NM_131644.1,Endogenous,,12,11,7,4,8,2351,158,1,1,2,15,5
tfap2a,,NM_176859.2,Endogenous,,503,100,126,36,26,5,4,47,93,4,202,106
tfap2e,,NM_200821.1,Endogenous,,28,24,11,13,19,27,17,14,8,12,22,21
tfec,,NM_001030105.2,Endogenous,,17,45722,6,960,917,8,12,1,2,1,107973,2041
tyr,,NM_131013.1,Endogenous,,14,14,15,8,16,6085,25202,1,9,1,13,7
tyrp1b,,NM_001002749.1,Endogenous,,27,61,21,29,22,57,28,27,17,25,36,45
NEG_A,,ERCC_00096.1,Negative,,16,4,19,11,15,17,4,10,8,3,13,4
NEG_B,,ERCC_00041.1,Negative,,14,10,7,4,5,5,8,5,6,4,9,8
NEG_C,,ERCC_00019.1,Negative,,5,1,1,1,2,1,2,1,1,1,3,3
NEG_D,,ERCC_00076.1,Negative,,1,8,1,2,8,1,5,1,1,1,7,4
NEG_E,,ERCC_00098.1,Negative,,8,9,16,9,8,15,7,5,3,3,14,10
NEG_F,,ERCC_00126.1,Negative,,22,27,16,20,17,26,17,24,20,21,15,32
NEG_G,,ERCC_00144.1,Negative,,3,1,3,4,1,1,1,1,2,1,1,4
NEG_H,,ERCC_00154.1,Negative,,1,8,4,6,11,5,1,2,5,23,7,6
POS_A,,ERCC_00117.1,Positive,,11990,15768,16881,16688,12992,14504,13707,13593,15575,14335,17042,19068
POS_B,,ERCC_00112.1,Positive,,3197,4283,4538,4583,3499,4142,3689,3655,4232,3898,4875,5415
POS_C,,ERCC_00002.1,Positive,,876,1184,1265,1238,981,1165,999,982,1190,1085,1327,1451
POS_D,,ERCC_00092.1,Positive,,184,259,324,273,238,288,241,235,288,282,295,386
POS_E,,ERCC_00035.1,Positive,,40,50,45,46,33,40,54,46,42,45,62,56
POS_F,,ERCC_00034.1,Positive,,24,24,20,33,20,54,22,20,23,17,21,26
